time,topology_rogers_ca.pktDropper_Victoria_Vancouver.
4805.375,48.053
4808.829,48.088
4818.27,48.182
4827.551,48.275
4833.634,48.336
4840.678,48.406
4846.645,48.466
4846.963,48.469
4854.799,48.547
4856.446,48.564
4861.446,48.614
4867.661,48.676
4868.165,48.681
4873.937,48.739
4880.928,48.809
4883.307,48.833
4893.231,48.932
4902.573,49.025
4905.246,49.052
4911.386,49.113
4918.177,49.181
4923.533,49.235
4932.176,49.321
4938.075,49.38
4945.583,49.455
4952.884,49.528
4962.529,49.625
4965.648,49.656
4971.19,49.711
4975.172,49.751
4977.296,49.772
4979.394,49.793
4981.618,49.816
4983.48,49.834
4985.667,49.856
4995.111,49.951
5000.807,50.008
5008.203,50.082
5012.724,50.127
5017.629,50.176
5027.331,50.273
5029.605,50.296
5036.41,50.364
5038.954,50.389
5039.807,50.398
5040.387,50.403
5040.951,50.409
5045.295,50.452
5050.173,50.501
5053.291,50.532
5062.101,50.621
5069.064,50.69
5078.828,50.788
5082.606,50.826
5088.783,50.887
5090.579,50.905
5096.004,50.96
5096.251,50.962
5104.797,51.047
5105.469,51.054
5112.907,51.129
5119.701,51.197
5124.487,51.244
5129.024,51.29
5135.795,51.357
5141.161,51.411
5147.231,51.472
5156.198,51.561
5163.345,51.633
5173.248,51.732
5177.943,51.779
5180.112,51.801
