 topology_rogers_ca.pktDropper_Victoria_Seattle (#0 - Scenario1VicVan-0-20180716-19:59:51-12298),
8163.197,81.631
8168.322,81.6829999999999925
8171.807,81.7179999999999891
8176.913,81.76900000000000515
8184.314,81.8429999999999891
8188.182,81.881
8194.987,81.94899999999998355
8200.288,82.0019999999999808
8206.512,82.0649999999999975
8215.959,82.1589999999999914
8223.064,82.2299999999999894
8231.993,82.3189999999999881
8234.042,82.3400000000000031
8240.813,82.40799999999998675
8244.23,82.44199999999997855
8250.62,82.506
8257.382,82.57299999999997875
8262.866,82.6279999999999856
8271.658,82.71599999999997935
8274.385,82.74299999999999455
8279.822,82.79800000000000155
8281.305,82.81299999999998785
8284.132,82.84099999999997935
8292.695,82.9259999999999875
8292.997,82.92900000000000175
8299.348,82.99299999999999455
8306.451,83.06399999999999265
8309.447,83.0939999999999938
8309.526,83.09499999999999875
8314.128,83.1409999999999909
8317.855,83.177999999999997
8318.1,83.1809999999999829
8323.405,83.2339999999999801
8328.986,83.288999999999987
8338.207,83.38200000000000465
8341.819,83.41800000000000605
8342.714,83.42699999999999225
8347.741,83.47700000000000355
8351.8,83.5180000000000004
8353.336,83.53299999999998675
8353.579,83.5349999999999963
8357.834,83.57800000000000265
8361.26,83.61199999999999455
8370.322,83.70300000000000265
8376.544,83.7649999999999861
8376.629,83.7659999999999909
8379.42,83.79399999999998235
8389.109,83.8909999999999908
8391.206,83.9120000000000058
8398.115,83.98099999999999415
8399.272,83.99199999999998985
8400.266,84.0019999999999808
8406.037,84.060000000000002
8408.935,84.0889999999999985
8415.888,84.15799999999998675
8421.279,84.2119999999999889
8427.999,84.27899999999999605
8435.24,84.35200000000000355
8444.729,84.44700000000000235
8448.618,84.48599999999998965
8448.645,84.48599999999998965
8450.916,84.5089999999999859
8457.388,84.57299999999997875
8461.937,84.6189999999999994
8467.941,84.6790000000000016
8477.662,84.77599999999998165
8483.549,84.83499999999997915
8491.887,84.91800000000000605
8501.515,85.0149999999999861
8510.663,85.10599999999999415
8510.832,85.10800000000000375
8517.505,85.17499999999998265
8524.47,85.2439999999999994
8528.877,85.28799999999998205
8537.014,85.37000000000000435
8543.865,85.43799999999998785
8548.963,85.4890000000000039
8555.449,85.5540000000000016
8558.789,85.5869999999999889
8559.08,85.5900000000000031
8566.988,85.66899999999998235
8576.183,85.76099999999999535
8577.155,85.7709999999999863
8582.58,85.8249999999999883
8587,85.87000000000000435
8596.911,85.96899999999999375
8602.111,86.0209999999999863
8605.942,86.05899999999999725
