 topology_rogers_ca.sdnController (#0 - ScenarioSim3_4-0-20180716-19:15:39-11279),
4502,45.01999999999999582
4507.488,45.07399999999999787
4513.416,45.13400000000000017
4520.568,45.20499999999999812
4529.011,45.28999999999999187
4535.039,45.34999999999999412
4543.618,45.43599999999999267
4549.067,45.48999999999999462
4557.54,45.5750000000000027
4561.777,45.61699999999999005
4568.013,45.6799999999999924
4574.472,45.74399999999999957
4578.316,45.783000000000001
4582.692,45.82599999999999327
4585.667,45.8559999999999944
4594.585,45.94499999999999305
4595.152,45.95099999999999327
4604.789,46.04699999999999677
4607.516,46.0750000000000027
4611.35,46.1129999999999994
4616.127,46.16100000000000115
4624.044,46.2399999999999946
4632.166,46.32099999999999775
4637.455,46.37399999999999505
4642.255,46.42199999999999675
4647.935,46.47899999999999905
4651.863,46.5180000000000005
4661.119,46.61099999999998985
4669.48,46.6940000000000024
4670.19,46.70099999999999325
4673.564,46.73499999999999925
4674.435,46.74399999999999955
4680.917,46.80899999999999725
4681.119,46.81099999999999265
4684.801,46.8479999999999988
4693.127,46.9309999999999971
4702.699,47.02599999999999605
4710.481,47.10399999999999905
4711.885,47.11799999999999475
4720.585,47.2049999999999981
4729.286,47.2920000000000014
4739.072,47.3900000000000004
4743.808,47.4380000000000022
4751.8,47.5180000000000005
4759.809,47.5979999999999988
4764.424,47.643999999999991
4769.629,47.69599999999999775
4777.434,47.77400000000000075
4784.223,47.8419999999999986
4785.406,47.85399999999999905
4792.612,47.92600000000000175
4799.011,47.9899999999999946
4804.831,48.04800000000000165
4806.265,48.06199999999999735
4811.639,48.1159999999999994
4821.086,48.2099999999999935
4828.672,48.28600000000000115
4833.89,48.33799999999999365
4834.949,48.34899999999998935
4839.096,48.3900000000000004
4843.832,48.4380000000000022
4846.478,48.4639999999999985
4848.341,48.48299999999998965
4856.083,48.5600000000000021
4863.452,48.63400000000000015
4868.014,48.6799999999999924
4870.18,48.70099999999999325
4875.864,48.75799999999999535
4877.216,48.77199999999999115
4877.404,48.77400000000000075
4880.645,48.8059999999999971
4886.821,48.86799999999999475
4888.318,48.88299999999999535
4894.439,48.9440000000000024
4896.662,48.96599999999999375
4902.831,49.0279999999999914
4906.696,49.0660000000000023
4916.133,49.16100000000000115
4925.159,49.2509999999999904
4931.977,49.3190000000000024
4936.476,49.3639999999999899
4940.071,49.3999999999999913
4946.202,49.4620000000000031
4950.572,49.5049999999999953
4959.595,49.59499999999999875
4966.571,49.66499999999999185
4967.564,49.6749999999999969
4968.166,49.6809999999999971
4977.864,49.7779999999999914
4984.532,49.84499999999999875
4991.063,49.9099999999999963
4997.769,49.97699999999998945
