9;4;10;9.16494
9;1;10;6.00564
9;5;10;5.29727
9;2;10;7.51845
9;8;10;4.33992
9;6;10;4.03213
9;7;10;4.95879
9;3;10;7.87692
10;4;10;7.9958
10;1;10;5.50128
10;2;10;6.24433
10;9;10;1.3737
10;6;10;2.70907
10;8;10;3.04257
10;3;10;6.77751
10;5;10;4.08912
11;5;10;5.31237
11;3;10;7.90624
11;6;10;3.98773
11;10;10;1.35083
11;2;10;7.52555
11;4;10;9.18725
11;9;10;0.0943462
11;1;10;6.07416
12;2;10;13.1223
12;7;10;7.53176
12;9;10;6.85975
12;6;10;8.48749
12;3;10;14.0778
12;5;10;11.3042
12;11;10;6.78539
12;1;10;12.8479
13;3;10;22.3643
13;8;10;18.3965
13;9;10;15.0141
13;4;10;23.3869
13;2;10;21.342
13;11;10;14.949
13;10;10;15.7524
13;12;10;8.29308
14;12;10;10.3716
14;11;10;17.1265
14;10;10;17.6749
14;6;10;18.0204
14;3;10;23.8847
14;13;10;4.11732
14;5;10;21.1489
14;9;10;17.2048
15;6;10;26.7871
15;12;10;18.7582
15;11;10;25.5265
15;10;10;26.2203
15;2;10;31.4064
15;14;10;8.85774
15;13;10;10.7049
15;4;10;33.5162
16;7;10;23.5681
16;8;10;27.1015
16;13;10;9.9958
16;15;10;2.90641
16;14;10;7.16938
16;10;10;24.8423
16;3;10;31.024
16;9;10;24.3479
17;10;10;25.1082
17;4;10;32.6634
17;14;10;8.6057
17;16;10;4.948
17;15;10;2.74497
17;5;10;28.9077
17;13;10;9.35907
17;8;10;27.7096
18;17;10;3.49527
18;16;10;2.03665
18;5;10;27.2326
18;13;10;8.3543
18;8;10;26.0303
18;3;10;29.9838
18;15;10;2.70331
18;12;10;16.2052
19;15;10;4.67037
19;17;10;6.12161
19;10;10;23.1643
19;7;10;21.7488
19;13;10;8.8487
19;12;10;15.9054
19;14;10;5.53515
19;16;10;1.97114
20;19;10;1.96322
20;15;10;3.28523
20;13;10;8.19048
20;10;10;23.2759
20;17;10;4.20767
20;18;10;0.721609
20;14;10;5.68979
20;16;10;1.85481
21;7;10;32.7589
21;19;10;11.1224
21;14;10;16.2867
21;3;10;40.1691
21;16;10;9.21821
21;17;10;9.56579
21;15;10;7.71017
21;10;10;33.8613
22;16;10;12.6596
22;21;10;3.92246
22;7;10;35.9382
22;18;10;13.3041
22;19;10;14.6199
22;15;10;10.6247
